Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
Republican Party,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,PRESIDENT,Wayne
Democratic Party,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,PRESIDENT,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,PRESIDENT,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,PRESIDENT,Wayne
DONALD J. TRUMP JD VANCE,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PRESIDENT,Wayne
Republican Party,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,FEDERAL,Wayne
Democratic Party,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,FEDERAL,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,FEDERAL,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,FEDERAL,Wayne
DONALD J. TRUMP JD VANCE,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
